,id,text,author
5388,id00031,It must not be fancied that Inspector Legrasse had the least interest in archaeology.,HP Lovecraft
8955,id08348,He betrays eagerly and early that he may not himself be betrayed.,Edgar Alan Poe
14053,id21616,"Free I had but escaped death in one form of agony, to be delivered unto worse than death in some other.",Edgar Alan Poe
2254,id04645,"Not even the monstrosity of color was wanting; for the sunlight came out through the chasm, tinted all orange and purple; while the vivid green of the grass in the valley was reflected more or less upon all objects from the curtain of vapor that still hung overhead, as if loth to take its total departure from a scene so enchantingly beautiful.",Edgar Alan Poe
9263,id10999,"The gorilla was off its guard, but not for long, and before anything could be done by the regular trainer the body which had belonged to a baronet was past recognition.",HP Lovecraft
7982,id04742,"But this catalogue of favourites to be taken with us, could not be made without grief to think of our heavy losses, and a deep sigh for the many things we must leave behind.",Mary Wollstonecraft Shelley 
10094,id06896,But this was the best side of the question.,Mary Wollstonecraft Shelley 
17460,id16967,"I clung to my ferocious habits, yet half despised them; I continued my war against civilization, and yet entertained a wish to belong to it.",Mary Wollstonecraft Shelley 
347,id18509,"Geographically it lay about two miles northwest of the base of Tempest Mountain, and three miles from the oak girt mansion.",HP Lovecraft
10526,id18972,But West's gentle enemies were no less harassed with prostrating duties.,HP Lovecraft
14042,id20372,"D'ye know, young Sir, I'm right sot on this un here.",HP Lovecraft
18603,id18045,"Thus situated, my only resource was to drive before the wind.",Mary Wollstonecraft Shelley 
9950,id16405,"Wordsworth's ""Tintern Abbey"".",Mary Wollstonecraft Shelley 
9385,id07858,"""In that case,"" replied Dupin, opening a drawer, and producing a check book, ""you may as well fill me up a check for the amount mentioned.",Edgar Alan Poe
12004,id17391,"I have spoken to you, Oinos, as to a child of the fair Earth which lately perished of impulses upon the atmosphere of the Earth.",Edgar Alan Poe
1770,id27727,"He had heard, meanwhile, of Whateley's grotesque trip to Cambridge, and of his frantic efforts to borrow or copy from the Necronomicon at the Widener Library.",HP Lovecraft
3305,id22251,"In a solitary chamber, or rather cell, at the top of the house, and separated from all the other apartments by a gallery and staircase, I kept my workshop of filthy creation; my eyeballs were starting from their sockets in attending to the details of my employment.",Mary Wollstonecraft Shelley 
5392,id10091,During the interval that Tillinghast was silent I fancied myself in some vast and incredible temple of long dead gods; some vague edifice of innumerable black stone columns reaching up from a floor of damp slabs to a cloudy height beyond the range of my vision.,HP Lovecraft
5492,id22570,"Others will toss these pages lightly over: to you, Woodville, kind, affectionate friend, they will be dear the precious memorials of a heart broken girl who, dying, is still warmed by gratitude towards you: your tears will fall on the words that record my misfortunes; I know they will and while I have life I thank you for your sympathy.",Mary Wollstonecraft Shelley 
8808,id20684,"""Sir,"" he replied, after a pause, ""Donner und Blitzen"" This was all that could be desired.",Edgar Alan Poe
6579,id12328,"An old servant forced the carven lid, shaking as he did so at the hideous faces leering from the blackened wood, and at some unplaced familiarity.",HP Lovecraft
950,id20506,"Of polished desert quarried marble were its walls, in height cubits and in breadth , so that chariots might pass each other as men drave them along the top.",HP Lovecraft
15350,id10228,"It is you they will get, as they got the servants.",HP Lovecraft
7743,id16444,"""Nobody around here or in Arkham or Ipswich will have anything to do with 'em, and they act kind of offish themselves when they come to town or when anyone tries to fish on their grounds.",HP Lovecraft
4292,id26918,"He replied feebly, yet quite audibly, ""Yes, I wish to be.",Edgar Alan Poe
8978,id06297,"But I disliked it when I fancied I heard the closing of one of the windows that the settle faced, as if it had been stealthily opened.",HP Lovecraft
17808,id19701,You came the embodied image of my fondest dreams.,Mary Wollstonecraft Shelley 
7880,id01756,We have had no incidents worth recording.,Edgar Alan Poe
6228,id24282,"Instead, they jumped violently at the terrific report which seemed to rend the hills; the deafening, cataclysmic peal whose source, be it inner earth or sky, no hearer was ever able to place.",HP Lovecraft
17230,id20448,"He rode over to S , immediately after breakfast, and left word that he would not be in town again for a week.""",Edgar Alan Poe
4731,id09615,"Among other odd ideas, that of universal equality gained ground; and in the face of analogy and of God in despite of the loud warning voice of the laws of gradation so visibly pervading all things in Earth an Heaven wild attempts at an omni prevalent Democracy were made.",Edgar Alan Poe
15724,id04792,Do not regret this; for death is a too terrible an sic object for the living.,Mary Wollstonecraft Shelley 
10788,id23832,I made the attempt in vain.,Edgar Alan Poe
825,id21283,"And when time shall have softened your despair, new and dear objects of care will be born to replace those of whom we have been so cruelly deprived.""",Mary Wollstonecraft Shelley 
11353,id08993,"I welcomed my friend, therefore, in the most cordial manner, and we walked towards my college.",Mary Wollstonecraft Shelley 
14723,id14216,It is well when flies only are caught by such spiders' webs; but is it for the high born and powerful to bow their necks to the flimsy yoke of these unmeaning pretensions?,Mary Wollstonecraft Shelley 
13428,id02176,"He placed the needle at the wrong end of the tube, and drawing his breath strongly to puff the dart forward with force, drew the needle into his throat.",Edgar Alan Poe
3754,id18577,In the end I did find something; something of such vague but monstrous import that I set about at once to examine the cellar of the shunned house itself with a new and excited minuteness.,HP Lovecraft
1989,id03979,"Expectation, and hopes, and affection were all too much for me.",Mary Wollstonecraft Shelley 
13589,id04008,I bade them search search well.,Edgar Alan Poe
13503,id15001,"Saddened by these family misfortunes, the scientist sought relief in work, and made two long expeditions in the interior of Africa.",HP Lovecraft
11980,id11084,Increase of knowledge only discovered to me more clearly what a wretched outcast I was.,Mary Wollstonecraft Shelley 
4338,id14438,"Adrian remained in the coffee room, while I, in compliance with his desire, took my seat in St. Stephen's.",Mary Wollstonecraft Shelley 
11718,id10156,"I seem to have suffered a great shock perhaps from some utterly monstrous outgrowth of my cycles of unique, incredible experience.",HP Lovecraft
2412,id14226,"This ancient confirmed every tale which Jermyn had heard, adding his own account of the stone city and the white apes as it had been told to him.",HP Lovecraft
14607,id08986,"Unlocking it, he ushered me into a barren hallway with what was once splendid dark oak panelling simple, of course, but thrillingly suggestive of the times of Andros and Phipps and the Witchcraft.",HP Lovecraft
9300,id02389,"In any case such a monster must of necessity be in our scheme of things an anomaly and an intruder, whose extirpation forms a primary duty with every man not an enemy to the world's life, health, and sanity.",HP Lovecraft
9242,id04183,"No, he had determined to die, and he wished to spare me the misery of knowing it.",Mary Wollstonecraft Shelley 
4709,id25549,"Certain spots were almost forbidden territory, as he had learned at considerable cost.",HP Lovecraft
2915,id26456,"In a word, the powers of mind more particularly exercised were, with me, as I have said before, the attentive, and are, with the day dreamer, the speculative.",Edgar Alan Poe
2407,id20190,"Still, the general appearance was certainly not that of death.",Edgar Alan Poe
3823,id09038,"Again I say, I do not know what has become of Harley Warren; though I think almost hope that he is in peaceful oblivion, if there be anywhere so blessed a thing.",HP Lovecraft
19358,id20046,"My fortunes have been, from the beginning, an exemplification of the power that mutability may possess over the varied tenor of man's life.",Mary Wollstonecraft Shelley 
8238,id09840,"Disease a fatal disease, fell like the simoon upon her frame; and, even while I gazed upon her, the spirit of change swept over her, pervading her mind, her habits, and her character, and, in a manner the most subtle and terrible, disturbing even the identity of her person Alas the destroyer came and went and the victim where is she?",Edgar Alan Poe
13532,id12762,"The fires must be lit, and the dancers must be starting in.",HP Lovecraft
14965,id03834,"The young woman arranged the cottage and prepared the food, and the youth departed after the first meal.",Mary Wollstonecraft Shelley 
5192,id00006,"It was difficult, at any given time, to say with certainty upon which of its two stories one happened to be.",Edgar Alan Poe
14791,id06642,"Thus, while the wise, the good, and the prudent were occupied by the labours of benevolence, the truce of winter produced other effects among the young, the thoughtless, and the vicious.",Mary Wollstonecraft Shelley 
15054,id08803,"""A thousand pounds,"" said I. ""A thousand pounds?"" said he. ""Precisely,"" said I. ""A thousand pounds?"" said he. ""Just so,"" said I. ""You shall have them,"" said he. ""What a piece of virtu"" So he drew me a check upon the spot, and took a sketch of my nose.",Edgar Alan Poe
4476,id19216,"All of soul inspiriting fled with sleep, and dark melancholy clouded every thought.",Mary Wollstonecraft Shelley 
1512,id02010,"how can you?"" interrupted the object of my animadversions, gasping for breath, and tearing off, with a desperate exertion, the bandage around its jaws ""how can you, Mr. Lackobreath, be so infernally cruel as to pinch me in that manner by the nose?",Edgar Alan Poe
18655,id12957,Nor has he yet had any difficulty in obtaining tenants.,HP Lovecraft
4745,id03503,"Re crossing the gorge on the Main Street bridge, I struck a region of utter desertion which somehow made me shudder.",HP Lovecraft
430,id24554,Thus Mark Antony composed a treatise upon getting drunk.,Edgar Alan Poe
16608,id24078,"The mansion, gone for a century, once more reared its stately height to the raptured vision; every window ablaze with the splendour of many candles.",HP Lovecraft
7137,id02371,"Just what the white ape like creatures could have been, Mwanu had no idea, but he thought they were the builders of the ruined city.",HP Lovecraft
10722,id05292,"The reproaches which agony extorted; or worse, cureless, uncomplaining depression, when his mind was sunk in a torpor, not the less painful because it was silent and moveless.",Mary Wollstonecraft Shelley 
3980,id11220,"I say, when they git ready . . .",HP Lovecraft
7507,id02674,"About four hours remained for conversation if I were to catch the eight o'clock coach for Arkham, and I began to dole out more liquor to the ancient tippler; meanwhile eating my own frugal lunch.",HP Lovecraft
12251,id00505,"We entered London in the evening, and went to our several abodes near Hyde Park.",Mary Wollstonecraft Shelley 
274,id04515,"""The father of Safie had been the cause of their ruin.",Mary Wollstonecraft Shelley 
14015,id13612,"Warmer every minute, and the tissues can't last.",HP Lovecraft
18867,id18628,"In fact, having once satisfied themselves that no egress could have been made in this quarter, they would naturally bestow here a very cursory examination.",Edgar Alan Poe
19124,id08844,Was my love blamable?,Mary Wollstonecraft Shelley 
18581,id16096,"I began to realise how some of poor Klenze's moods had arisen, for as the temple drew me more and more, I feared its aqueous abysses with a blind and mounting terror.",HP Lovecraft
2882,id09865,"This was a strange speech, now that, on the empty stage, each might play his part without impediment from the other.",Mary Wollstonecraft Shelley 
17548,id12539,"Nor did they like the strange sculptures upon the grey monoliths of Ib, for those sculptures were terrible with great antiquity.",HP Lovecraft
3955,id26087,I performed the first part of my journey on horseback.,Mary Wollstonecraft Shelley 
4838,id25533,"He is senseless and externally motionless; but the pulsation of the heart is still faintly perceptible; some traces of warmth remain; a slight color lingers within the centre of the cheek; and, upon application of a mirror to the lips, we can detect a torpid, unequal, and vacillating action of the lungs.",Edgar Alan Poe
4994,id27638,This continued for perhaps a minute.,Edgar Alan Poe
9244,id09533,"It is not improbable that the relatives of Legrand, conceiving him to be somewhat unsettled in intellect, had contrived to instil this obstinacy into Jupiter, with a view to the supervision and guardianship of the wanderer.",Edgar Alan Poe
6236,id08695,"A certain period elapses, and some unseen mysterious principle again sets in motion the magic pinions and the wizard wheels.",Edgar Alan Poe
12287,id01359,"This motion invariably precedes, by about two seconds, the movement of the arm itself and the arm never, in any instance, moves without this preparatory motion in the shoulder.",Edgar Alan Poe
8488,id27841,"My head, heavy and reeling, drooped to my breast, and when next I looked up it was in a dream; with the Pole Star grinning at me through a window from over the horrible swaying trees of a dream swamp.",HP Lovecraft
8257,id17521,"The pictures drawn in these books were so vivid, that we seemed to have experienced the results depicted by them.",Mary Wollstonecraft Shelley 
16532,id24511,"And I was too dazed to exult when he whispered back a thing I had half expected ""No it wasn't that way at all.",HP Lovecraft
14274,id26781,Leaves the Square front of Hammond's Drug Store at a.m. and p.m. unless they've changed lately.,HP Lovecraft
5019,id14663,"In all the cities of Cydathria and in the lands beyond the Bnazic desert gay faced children laughed at his olden songs and tattered robe of purple; but Iranon stayed ever young, and wore wreaths upon his golden head whilst he sang of Aira, delight of the past and hope of the future.",HP Lovecraft
2966,id19686,"These astounding words came on him as of less fearful import than those which he had expected; and to learn that she was still in being, and that he might still hope was an alleviation to him.",Mary Wollstonecraft Shelley 
17805,id01555,"There had, Mr. Peabody said, been considerable discussion about the marriage of her father, Benjamin Orne, just after the Civil War; since the ancestry of the bride was peculiarly puzzling.",HP Lovecraft
10880,id22737,"Piles of moss covered stones near the water promised tolerable seats, and the scene was sheltered from all possible view by a ruined warehouse on the north.",HP Lovecraft
12074,id20185,"The north wing, I now saw, was a bed chamber, its door opened into the parlor.",Edgar Alan Poe
5884,id07705,I do believe that I blushed with shame when this idea crossed my mind.,Edgar Alan Poe
6209,id06088,"My cognizance of the pit had become known to the inquisitorial agents the pit whose horrors had been destined for so bold a recusant as myself the pit, typical of hell, and regarded by rumor as the Ultima Thule of all their punishments.",Edgar Alan Poe
5270,id01401,"I began to speak to Tillinghast, and as I did so all the unusual impressions abruptly vanished.",HP Lovecraft
12096,id07401,"Thereafter I was more cautious with my incantations, for I had no wish to be cut off from my body and from the earth in unknown abysses whence I could never return.",HP Lovecraft
17078,id01601,"Old Bugs, springing up from the crouching position in which he had hitherto been, lEdgar Alan Poeed at the youth and dashed from his hands the uplifted glass, almost simultaneously attacking the tray of bottles and glasses with his mop, and scattering the contents upon the floor in a confusion of odoriferous fluid and broken bottles and tumblers.",HP Lovecraft
10412,id07310,"The servant instantly showed it to one of the others, who, without saying a word to any of the family, went to a magistrate; and, upon their deposition, Justine was apprehended.",Mary Wollstonecraft Shelley 
11076,id10664,"body knew, was an unknown quantity; but in this case as he properly observed, there was an unknown quantity of X.",Edgar Alan Poe
4060,id16373,"As he bathed and changed clothes he tried to recall what he had dreamed after the scene in the violet litten space, but nothing definite would crystallise in his mind.",HP Lovecraft
6042,id05284,"It was on the twenty first of February, , that the thing finally occurred.",HP Lovecraft
832,id17712,"I did not expect it, either, for I thought I was thoroughly forewarned regarding what the jewellery would turn out to be.",HP Lovecraft
2356,id24730,Of this spirit philosophy takes no account.,Edgar Alan Poe
9955,id16257,Its whole style differed materially from that of Legrand.,Edgar Alan Poe
11384,id20755,"Two biological points he was exceedingly anxious to settle first, whether any amount of consciousness and rational action be possible without the brain, proceeding from the spinal cord and various nerve centres; and second, whether any kind of ethereal, intangible relation distinct from the material cells may exist to link the surgically separated parts of what has previously been a single living organism.",HP Lovecraft
17087,id18998,"Wal, even ef I hain't told nobody nothin' yet, I'm a goin' to naow You jest set still an' listen to me, boy this is what I ain't never told nobody. . . .",HP Lovecraft
12003,id25984,"Their sides sloped from the water's edge at an angle of some forty five degrees, and they were clothed from base to summit not a perceptible point escaping in a drapery of the most gorgeous flower blossoms; scarcely a green leaf being visible among the sea of odorous and fluctuating color.",Edgar Alan Poe
13444,id17371,"To Ritzner, ever upon the lookout for the grotesque, his peculiarities had for a long time past afforded food for mystification.",Edgar Alan Poe
19031,id01737,"It was now midnight, and my task was drawing to a close.",Edgar Alan Poe
12190,id07023,"His teeth, however, were like pearl, and his large full eyes were deliciously white.",Edgar Alan Poe
10889,id16891,"It is needless to say what effect this conduct, on the part of so fascinating a woman, had upon my excitable mind.",Edgar Alan Poe
8594,id27883,God knows how many there were there must have been thousands.,HP Lovecraft
6485,id08231,"Never will I give up my search until he or I perish; and then with what ecstasy shall I join my Elizabeth and my departed friends, who even now prepare for me the reward of my tedious toil and horrible pilgrimage As I still pursued my journey to the northward, the snows thickened and the cold increased in a degree almost too severe to support.",Mary Wollstonecraft Shelley 
2663,id17739,"And since in the wide world thou remainest, why should I complain?",Mary Wollstonecraft Shelley 
6130,id22494,"Somehow I doubt if it was stolen by mortal hands, for many strange things were taught me in India.",HP Lovecraft
7631,id02261,He told us what had become of the eighty three lost tragedies of Æschylus; of the fifty four orations of Isæus; of the three hundred and ninety one speeches of Lysias; of the hundred and eighty treatises of Theophrastus; of the eighth book of the conic sections of Apollonius; of Pindar's hymns and dithyrambics; and of the five and forty tragedies of Homer Junior.,Edgar Alan Poe
12092,id10774,"Massa Will cotch him fuss, but had for to let him go gin mighty quick, I tell you den was de time he must ha got de bite.",Edgar Alan Poe
12660,id07763,"If I can save one of her mighty spirits from the deadly shaft; if I can ward disease from one of her smiling cottages, I shall not have lived in vain.""",Mary Wollstonecraft Shelley 
7132,id10685,"""That is also my victim"" he exclaimed.",Mary Wollstonecraft Shelley 
17734,id14018,After that I went to Sydney and talked profitlessly with seamen and members of the vice admiralty court.,HP Lovecraft
733,id17951,"The diddler approaches the bar of a tavern, and demands a couple of twists of tobacco.",Edgar Alan Poe
6634,id27067,"It was Greenwich, the Greenwich that used to be, with here and there a roof or row of houses as we see it now, yet with lovely green lanes and fields and bits of grassy common.",HP Lovecraft
1850,id25293,"It was from these that I determined to choose a colleague, and the more I reflected the more my preference inclined toward one Arthur Munroe, a dark, lean man of about thirty five, whose education, taste, intelligence, and temperament all seemed to mark him as one not bound to conventional ideas and experiences.",HP Lovecraft
3875,id14655,"Glad to get off so easily, and confused by a hundred duties pressing upon him all at once, he discharges the claim forthwith.",Edgar Alan Poe
10948,id11499,It must be confessed that it has an amazingly moon hoaxy air.,Edgar Alan Poe
5942,id01218,"Certainly, the nerves were recalling the man's last act in life; the struggle to get free of the falling aëroplane.",HP Lovecraft
16268,id15705,"As I turned, I dreaded what I was to see; for the scream had been in my uncle's voice, and I knew not against what menace I should have to defend him and myself.",HP Lovecraft
10270,id14969,Every connoisseur in such matters admitted the legs to be good.,Edgar Alan Poe
2750,id23459,But he can never be thus divested at least never will be else we must imagine an action of God returning upon itself a purposeless and futile action.,Edgar Alan Poe
12100,id23255,"It had at first been his hope to find a reagent which would restore vitality before the actual advent of death, and only repeated failures on animals had shewn him that the natural and artificial life motions were incompatible.",HP Lovecraft
13862,id08343,"His father, Karl Trever, was an attorney and citizen of distinction, whilst his mother had made an enviable reputation as a poetess under her maiden name of Eleanor Wing.",HP Lovecraft
18017,id06701,"Carter did not taste deeply of these modern freedoms; for their chEdgar Alan Poeness and squalor sickened a spirit loving beauty alone, while his reason rebelled at the flimsy logic with which their champions tried to gild brute impulse with a sacredness stripped from the idols they had discarded.",HP Lovecraft
5528,id02086,Haow'd ye like to be a little shaver alone up in a cupalo a watchin' shapes as wa'n't human shapes? . . .,HP Lovecraft
7745,id02140,"This lakelet was, perhaps, a hundred yards in diameter at its widest part.",Edgar Alan Poe
12308,id17195,"Mankind was not absolutely alone among the conscious things of earth, for shapes came out of the dark to visit the faithful few.",HP Lovecraft
6809,id07752,"Miss Tilton, comparing all possible hypotheses regarding its origin and its presence in New England, was inclined to believe that it formed part of some exotic pirate hoard discovered by old Captain Obed Marsh.",HP Lovecraft
18968,id24499,"""I am alive,"" were the uncomprehended words which, upon recognizing the locality of the dissecting room, he had endeavored, in his extremity, to utter.",Edgar Alan Poe
6063,id19268,"Libo himself, as well as Balbutius, insisted on accompanying the cohort; but great difficulty was suffered in getting a native guide to point out the paths up the mountain.",HP Lovecraft
9846,id25962,"I jumped into the boat, and well accustomed to such feats, I pushed it from shore, and exerted all my strength to row swiftly across.",Mary Wollstonecraft Shelley 
7618,id12865,"If, moreover, a body has risen to the surface through firing of cannon, it will not 'sink again if let alone,' until decomposition has so far progressed as to permit the escape of the generated gas.",Edgar Alan Poe
14135,id12640,"Talks with several students of archaic lore in Boston, and letters to many others elsewhere, gave him a growing amazement which passed slowly through varied degrees of alarm to a state of really acute spiritual fear.",HP Lovecraft
4286,id00095,"Soon they became excessively numerous, like impious catacombs of nameless menace; and their pungent odour of decay grew quite unbearable.",HP Lovecraft
3392,id08963,"But then there was a taper ankle, a sandalled foot.",Edgar Alan Poe
5836,id18016,"The story is too connected to be mistaken for a dream, and I have no motive for falsehood.""",Mary Wollstonecraft Shelley 
3520,id12554,"Thereafter I heard Zann every night, and although he kept me awake, I was haunted by the weirdness of his music.",HP Lovecraft
15467,id25851,"""There needs no persuasion,"" said the blushing Perdita, ""except your own dear promises, and my ready heart, which whispers to me that they are true.""",Mary Wollstonecraft Shelley 
7240,id02244,"If heaven ever wishes to grant me a boon, it will be a total effacing of the results of a mere chance which fixed my eye on a certain stray piece of shelf paper.",HP Lovecraft
15247,id25276,"Yet I did not hurry too precipitately, for there were architectural details worth viewing at every silent corner; and I could easily, I calculated, cover the necessary distance in a half hour.",HP Lovecraft
13082,id07504,"To use a sporting phrase, I had not been once 'at fault.'",Edgar Alan Poe
6266,id15276,"Man cannot repose, and his restless aspirations will now bring forth good instead of evil.",Mary Wollstonecraft Shelley 
18102,id01037,I now looked at the nail.,Edgar Alan Poe
1984,id06589,"Readiness of talent, a capacity of entering into, and leading the dispositions of men; earnest desire of distinction were the awakeners and nurses of his ambition.",Mary Wollstonecraft Shelley 
15877,id15896,During this short voyage I saw the lightning playing on the summit of Mont Blanc in the most beautiful figures.,Mary Wollstonecraft Shelley 
5821,id07419,"Thus I felt, when disappointment, weariness, and solitude drove me back upon my heart, to gather thence the joy of which it had become barren.",Mary Wollstonecraft Shelley 
7784,id11215,"For the door and windows of the undersea temple hewn from the rocky hill were vividly aglow with a flickering radiance, as from a mighty altar flame far within.",HP Lovecraft
4326,id15406,"The ridged, barrel shaped centre, the thin, radiating arms, the knobs at each end, and the flat, slightly outward curving starfish arms spreading from those knobs all were there.",HP Lovecraft
16799,id06352,"Most o' the folks araound the taown took the hard times kind o' sheep like an' resigned, but they was in bad shape because the fishin' was peterin' aout an' the mills wa'n't doin' none too well.",HP Lovecraft
9211,id01440,"On the second night after my release, I was again taken by the gamekeepers again imprisoned, and again released; and again, such was my pertinacity, did the fourth night find me in the forbidden park.",Mary Wollstonecraft Shelley 
3892,id25296,"Pressing the spring, I gently raised the sash for a few inches; the head went up with it, remaining firm in its bed.",Edgar Alan Poe
4983,id21645,"The rage and yells of the wounded man, the howling execrations of his comrade, which I answered with equal bitterness and fury, echoed through the dell; morning broke more and more, ill accordant in its celestial beauty with our brute and noisy contest.",Mary Wollstonecraft Shelley 
9420,id18225,"In the Reverend Abijah Hoadley, newly come to the Congregational Church at Dunwich Village, preached a memorable sermon on the close presence of Satan and his imps; in which he said: ""It must be allow'd, that these Blasphemies of an infernall Train of Daemons are Matters of too common Knowledge to be deny'd; the cursed Voices of Azazel and Buzrael, of Beelzebub and Belial, being heard now from under Ground by above a Score of credible Witnesses now living.",HP Lovecraft
4110,id18284,It is a scene terrifically desolate.,Mary Wollstonecraft Shelley 
7896,id16942,"Meanwhile the luminosity increased, waned again, then assumed a pale, outré colour or blend of colours which I could neither place nor describe.",HP Lovecraft
714,id08155,No fancy may picture the sublimity which might have been exhibited by a similar phenomenon taking place amid the darkness of the night.,Edgar Alan Poe
819,id13829,"He was wholly alone, and his first act was to walk to the balustrade and look dizzily down at the endless, Cyclopean city almost two thousand feet below.",HP Lovecraft
13281,id12141,"A touch of colour came to cheeks hitherto chalk white, and spread out under the curiously ample stubble of sandy beard.",HP Lovecraft
11989,id04627,"We followed them to an abandoned barn, where the remnants of a crowd of frightened foreigners were watching a silent black form on the floor.",HP Lovecraft
1781,id23240,"The disposition of Idris was peculiarly frank, soft, and affectionate.",Mary Wollstonecraft Shelley 
14841,id11355,Sails were lying in the bottom of the boat.,Edgar Alan Poe
13921,id10503,"To be sure they spoke of confining me in a strait jacket but, good God they never suspected me of having lost my breath.",Edgar Alan Poe
13594,id21077,"It drinks the dark blood of the inhabitant of the south, but it never feasts on the pale faced Celt.",Mary Wollstonecraft Shelley 
6592,id25343,"He was alone in the sky with this queer and very disturbing house; and when he sidled around to the front and saw that the wall stood flush with the cliff's edge, so that the single narrow door was not to be reached save from the empty aether, he felt a distinct terror that altitude could not wholly explain.",HP Lovecraft
10617,id01220,This action of Adrian provoked me.,Mary Wollstonecraft Shelley 
15142,id12744,"They had hanged four kinsmen of mine for witchcraft in , but I did not know just where.",HP Lovecraft
7577,id15508,"The thing, it was averred, was biologically impossible to start with; merely another of those crazy country mutterings which Cotton Mather had been gullible enough to dump into his chaotic Magnalia Christi Americana, and so poorly authenticated that even he had not ventured to name the locality where the horror occurred.",HP Lovecraft
3834,id14897,"""The view of the earth, at this period of my ascension, was beautiful indeed.",Edgar Alan Poe
17113,id15548,Her voice was suffocated with sobs.,Mary Wollstonecraft Shelley 
14446,id26848,"It was generally stated that the affliction and shock were results of an unlucky slip whereby Birch had locked himself for nine hours in the receiving tomb of Peck Valley Cemetery, escaping only by crude and disastrous mechanical means; but while this much was undoubtedly true, there were other and blacker things which the man used to whisper to me in his drunken delirium toward the last.",HP Lovecraft
704,id17864,"""But when I saw you become the object of another's love; when I imagined that you might be loved otherwise than as a sacred type and image of loveliness and excellence; or that you might love another with a more ardent affection than that which you bore to me, then the fiend awoke within me; I dismissed your lover; and from that moment I have known no peace.",Mary Wollstonecraft Shelley 
1933,id17937,"So that when we make our hearts a lair for that gently seeming beast, its companion enters with it, and pitilessly lays waste what might have been an home and a shelter.""",Mary Wollstonecraft Shelley 
8392,id16197,"Manton remained thoughtful as I said this, but gradually reverted to his analytical mood.",HP Lovecraft
8795,id00150,"It was a grey, bleak day, with now and then a drizzle of rain; and heavier and heavier clouds seemed to be piling themselves up beyond the hills to the northwest.",HP Lovecraft
336,id03244,He knew things he didn't dare put into that stupid Magnalia or that puerile Wonders of the Invisible World.,HP Lovecraft
6358,id15470,"You tried to stop me; you discouraged me when I needed every drop of encouragement I could get; you were afraid of the cosmic truth, you damned coward, but now I've got you What swept up the servants?",HP Lovecraft
7160,id23162,"It was not long since I was like one of these beardless aspirants; when my boy shall have obtained the place I now hold, I shall have tottered into a grey headed, wrinkled old man.",Mary Wollstonecraft Shelley 
